Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Capacitance,Voltage Rating DC,Dielectric,Tolerance,Case Code - in,Case Code - mm,Termination Style,Termination,Minimum Operating Temperature,Maximum Operating Temperature,Length,Width,Height,Product,Qualification,Series,Packaging
187-CL10B102KB8WPNC,CL10B102KB8WPNC,Samsung Electro-Mechanics,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_Automotive.pdf,95.221  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Samsung-Electro-Mechanics/CL10B102KB8WPNC?qs=e%252B%2FO%2F8SVGoLTfeX%2FwHTPfA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CL10B102KB8WPNC&utm_content=Samsung-Electro-Mechanics,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Conductive Epoxy,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.9 mm (0.035 in),General Type MLCCs,AEC-Q200,CL Automotive,"Reel, Cut Tape, MouseReel"
581-06031C102K4T2A,06031C102K4T2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/AutoMLCCKAM.pdf,14.428  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031C102K4T2A?qs=dsuSku9%252BPHpl8SW15zDP1w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031C102K4T2A&utm_content=KYOCERA-AVX,"=""1000 pF""",100 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),Automotive MLCCs,AEC-Q200,Automotive MLCC,"Reel, Cut Tape, MouseReel"
80-C0603C102J5G7411,C0603C102J5GAC7411,KEMET,https://www.mouser.be/datasheet/3/508/1/C0603C102J5GAC7411.pdf,72.677  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KEMET/C0603C102J5GAC7411?qs=6hD%252B5aNM3nV93MDlK8ruZQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C0603C102J5GAC7411&utm_content=KEMET,"=""1000 pF""",50 VDC,C0G (NP0),5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,SMD Comm C0G,"Reel, Cut Tape, MouseReel"
80-C0603C102J5RACLR,C0603C102J5RAC7411,KEMET,https://www.mouser.be/datasheet/3/508/1/C0603C102J5RAC7411.pdf,,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KEMET/C0603C102J5RAC7411?qs=qG1y%252BaZBm0O%252BbOUE%2FokAuw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C0603C102J5RAC7411&utm_content=KEMET,"=""1000 pF""",50 VDC,X7R,5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,SMD Comm X7R,"Reel, Cut Tape, MouseReel"
81-GCM1885C2A102JA6D,GCM1885C2A102JA16D,Murata Electronics,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GCM1885C2A102JA16-01A-EN_PDF_CERAMICCAPACITORSMD,118.556  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Murata-Electronics/GCM1885C2A102JA16D?qs=aEuGZpxfbxVoxZIT3GSetQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GCM1885C2A102JA16D&utm_content=Murata-Electronics,"=""1000 pF""",100 VDC,C0G (NP0),5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),Automotive MLCCs,AEC-Q200,GCM,"Reel, Cut Tape, MouseReel"
581-06035C102K4T4A,06035C102K4T4A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/AutoMLCCKAM.pdf,30.726  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035C102K4T4A?qs=EbDiPP9peV8Nqraqn0FLjQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035C102K4T4A&utm_content=KYOCERA-AVX,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),Automotive MLCCs,AEC-Q200,Automotive MLCC,"Reel, Cut Tape, MouseReel"
581-06031C102K4T4A,06031C102K4T4A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/AutoMLCCKAM.pdf,28.295  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031C102K4T4A?qs=dsuSku9%252BPHphXXaOMEZhuQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031C102K4T4A&utm_content=KYOCERA-AVX,"=""1000 pF""",100 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),Automotive MLCCs,AEC-Q200,Automotive MLCC,"Reel, Cut Tape, MouseReel"
603-CC603KRX7R6BB102,CC0603KRX7R6BB102,YAGEO,https://www.mouser.be/datasheet/3/508/1/UPY_GPHC_X7R_6_3V_TO_250V.pdf,59.474  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/YAGEO/CC0603KRX7R6BB102?qs=57cj7OiSijmQ1knITdOIdw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC0603KRX7R6BB102&utm_content=YAGEO,"=""1000 pF""",10 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,CC,"Reel, Cut Tape, MouseReel"
81-GCD188R72A102KA1D,GCD188R72A102KA01D,Murata Electronics,https://www.mouser.be/datasheet/3/76/3/GCD188R72A102KA01_01C.pdf,16.484  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Murata-Electronics/GCD188R72A102KA01D?qs=coxMWmu44UDG%252BAm0%2Ftebdw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GCD188R72A102KA01D&utm_content=Murata-Electronics,"=""1000 pF""",100 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),Automotive MLCCs,AEC-Q200,GCD,"Reel, Cut Tape, MouseReel"
187-CL10B102KC8NNNC,CL10B102KC8NNNC,Samsung Electro-Mechanics,https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B102KC8NNN,107.278  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Samsung-Electro-Mechanics/CL10B102KC8NNNC?qs=hqM3L16%252BxldbA%252Bb5PVRyCQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CL10B102KC8NNNC&utm_content=Samsung-Electro-Mechanics,"=""1000 pF""",100 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.9 mm (0.035 in),General Type MLCCs,,CL-Standard,"Reel, Cut Tape, MouseReel"
603-CC603KRX7R7BB102,CC0603KRX7R7BB102,YAGEO,https://www.mouser.be/datasheet/3/508/1/UPY_GPHC_X7R_6_3V_TO_250V.pdf,25.661  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/YAGEO/CC0603KRX7R7BB102?qs=57cj7OiSijmXnT43qo9O6Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC0603KRX7R7BB102&utm_content=YAGEO,"=""1000 pF""",16 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,CC,"Reel, Cut Tape, MouseReel"
810-C1608X7R2A102M,C1608X7R2A102M080AA,TDK,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf,Lead-Time 24 Weeks,"=""0,086 €""",RoHS Compliant,NRND,https://www.mouser.be/ProductDetail/TDK/C1608X7R2A102M080AA?qs=NRhsANhppD8WFxzH6Z2ReQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C1608X7R2A102M080AA&utm_content=TDK,"=""1000 pF""",100 VDC,X7R,20 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,C,"Reel, Cut Tape, MouseReel"
603-CC603JRX7R9BB102,CC0603JRX7R9BB102,YAGEO,https://www.mouser.be/datasheet/3/508/1/UPY_GPHC_X7R_6_3V_TO_250V.pdf,60.418  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/YAGEO/CC0603JRX7R9BB102?qs=AgBp2OyFlx9XcQsP2DKqzg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC0603JRX7R9BB102&utm_content=YAGEO,"=""1000 pF""",50 VDC,X7R,5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,CC,"Reel, Cut Tape, MouseReel"
603-CC603KRX7R9BB102,CC0603KRX7R9BB102,YAGEO,https://www.mouser.be/datasheet/3/508/1/UPY_GPHC_X7R_6_3V_TO_250V.pdf,,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/YAGEO/CC0603KRX7R9BB102?qs=AgBp2OyFlx%2F%2Fw3f5uZqSVQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC0603KRX7R9BB102&utm_content=YAGEO,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,CC,"Reel, Cut Tape, MouseReel"
