Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Connector Type","Number of Contacts","Gender","Specifications","Mounting Type","Mounting Feature","Termination","Features","Ingress Protection","Operating Temperature","Number of Ports","Current Rating (Amps)","Voltage - Rated","Shielding","Mating Cycles","URL"
"https://gct.co/files/specs/usb3106-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_USB3106-30-0230-A.jpg","2073-USB3106-30-0230-ATR-ND,2073-USB3106-30-0230-ACT-ND,2073-USB3106-30-0230-ADKR-ND","USB3106-30-0230-A","GCT","GCT","MICRO A/B SKT, VERTICAL, TH, 30""","559","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3106","Active","USB - micro AB","5","Receptacle","USB 2.0","Through Hole","Vertical","Solder","-","-","-55°C ~ 85°C","1","1A, 1.8A","30V","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3106-30-0230-A/9859640"
"https://gct.co/files/specs/usb3140-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3578/MFG_USB3140-30-0140-1-C.jpg","2073-USB3140-30-0140-1-CTR-ND,2073-USB3140-30-0140-1-CCT-ND,2073-USB3140-30-0140-1-CDKR-ND","USB3140-30-0140-1-C","GCT","GCT","MICRO B SKT, VERTICAL, SMT, 30"",","634","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3140","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","Board Guide, Pick and Place Cap","-","-25°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3140-30-0140-1-C/15929880"
"https://gct.co/files/specs/usb3160-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_USB3160-30-0120-0-C.jpg","2073-USB3160-30-0120-0-CTR-ND,2073-USB3160-30-0120-0-CCT-ND,2073-USB3160-30-0120-0-CDKR-ND","USB3160-30-0120-0-C","GCT","GCT","MICRO B SKT, VERTICAL, SMT, 30"",","1.219","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3160","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","Board Guide, Pick and Place Cap","-","-30°C ~ 85°C","1","1A, 2.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3160-30-0120-0-C/9859653"
"https://gct.co/files/specs/usb3160-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_USB3160-30-0070-0-C.jpg","2073-USB3160-30-0070-0-CTR-ND,2073-USB3160-30-0070-0-CCT-ND,2073-USB3160-30-0070-0-CDKR-ND","USB3160-30-0070-0-C","GCT","GCT","MICRO B SKT, VERTICAL, SMT, 30"",","989","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3160","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","Board Guide, Pick and Place Cap","-","-30°C ~ 85°C","1","1A, 2.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3160-30-0070-0-C/9859651"
"https://gct.co/files/specs/usb3145-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/325/MFG_USB3145-30-1-A.jpg","2073-USB3145-30-1-ATR-ND,2073-USB3145-30-1-ACT-ND,2073-USB3145-30-1-ADKR-ND","USB3145-30-1-A","GCT","GCT","MICRO B SKT, VERTICAL, TH, 30"",","0","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3145","Active","USB - micro B","5","Receptacle","USB 2.0","Through Hole","Vertical","Solder","-","-","-30°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3145-30-1-A/9859647"
"https://gct.co/files/specs/usb3160-spec.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_USB3160-30-0070-1-C.jpg","2073-USB3160-30-0070-1-CTR-ND,2073-USB3160-30-0070-1-CCT-ND,2073-USB3160-30-0070-1-CDKR-ND","USB3160-30-0070-1-C","GCT","GCT","MICRO B SKT, VERTICAL, SMT, 30"",","17","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","USB3160","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","Board Guide, Pick and Place Cap","-","-30°C ~ 85°C","1","1A, 2.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/gct/USB3160-30-0070-1-C/9859652"
"https://www.hirose.com/product/document?clcode=&productname=&series=ZX360&documenttype=Catalog&lang=en&documentid=D31616_en","-","ZX360D1-B-CN-10P-ND","ZX360D1-B-CN-10P","Hirose Electric Co Ltd","Hirose Electric Co Ltd","CONN RCPT USB3.0 MICRO B SMD R/A","0","0.6778","0","2000","Tape & Reel (TR)","ZX360","Obsolete","USB - micro B","10","Receptacle","USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0))","Surface Mount, Right Angle","Horizontal","Solder","Board Guide","-","-30°C ~ 85°C","1","1.8A","30VAC","-","10000","https://www.digikey.be/en/products/detail/hirose-electric-co-ltd/ZX360D1-B-CN-10P/5134928"
"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_micro_usb_3_1_gsb343.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7208/MFG_gsb343133ahr-1.jpg","664-GSB343133AHRTR-ND","GSB343133AHR","Amphenol ICC (Commercial Products)","Amphenol CS (Commercial Products)","USB3.0, MICRO B, RECEPTACLE,RIGH","0","0.67929","0","3000","Tape & Reel (TR)","GSB3","Active","USB - micro B","10","Receptacle","USB 3.2 Gen 1 (USB 3.1 Gen 1, Superspeed (USB 3.0))","Surface Mount, Right Angle","Horizontal","Solder","-","-","-40°C ~ 85°C","1","0.25A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-commercial-products/GSB343133AHR/25813434"
"https://www.molex.com/pdm_docs/sd/475900001_sd.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/525/0475900001.JPG","WM17144TR-ND,WM17144CT-ND,WM17144DKR-ND","0475900001","Molex","Molex","CONN RCPT MICRO USB AB 5P SMD RA","9.828","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","47590","Active","USB - micro AB","5","Receptacle","-","Surface Mount, Right Angle; Through Hole","Horizontal","Solder","Pick and Place, Solder Retention","-","-35°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/molex/0475900001/1832254"
"https://www.jae.com/direct/topics/topics_file_download/topics_id=64360&ext_no=08&_lang=en","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/527/DX4R005HJ5R2000.JPG","670-2674-2-ND,670-2674-1-ND,670-2674-6-ND","DX4R005HJ5R2000","JAE Electronics","JAE Electronics","CONN RCPT USB2.0 MICRO B SMD R/A","39.428","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DX4","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","Pick and Place, Solder Retention","-","-30°C ~ 80°C","1","0.5A, 1.8A","30V","Unshielded","10000","https://www.digikey.be/en/products/detail/jae-electronics/DX4R005HJ5R2000/3903227"
