Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Capacitance,Voltage Rating DC,Dielectric,Tolerance,Case Code - in,Case Code - mm,Termination Style,Termination,Minimum Operating Temperature,Maximum Operating Temperature,Length,Width,Height,Product,Series,Packaging
581-06031A240GAT2A,06031A240GAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,5.001  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A240GAT2A?qs=73XVGzxLSDXBsfM4dkmeUQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A240GAT2A&utm_content=KYOCERA-AVX,"=""24 pF""",100 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A250GAT2A,06031A250GAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,2.158  In Stock,"=""0,499 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A250GAT2A?qs=ahudlVbFbauwkrRnHdXZxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A250GAT2A&utm_content=KYOCERA-AVX,"=""25 pF""",100 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A240GAT2A,06035A240GAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,884  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A240GAT2A?qs=pLllxMKqYOWFng%2FQzlj6Rw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A240GAT2A&utm_content=KYOCERA-AVX,"=""24 pF""",50 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A250GAT2A,06035A250GAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,7.342  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A250GAT2A?qs=EbDiPP9peV9MB5ntHldHqw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A250GAT2A&utm_content=KYOCERA-AVX,"=""25 pF""",50 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A220FAT2A,06031A220FAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,2.332  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A220FAT2A?qs=OxThpr6vEgAfXG3o8kluRg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A220FAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",100 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A220GAT2A,06031A220GAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,1.059  In Stock,"=""0,318 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A220GAT2A?qs=OxThpr6vEgCc1PO9pPuC8Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A220GAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",100 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A270F,06031A270FAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,6.925  In Stock,"=""0,335 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A270FAT2A?qs=73XVGzxLSDWac%2FgZmDRdow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A270FAT2A&utm_content=KYOCERA-AVX,"=""27 pF""",100 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A270GAT2A,06031A270GAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,7.539  In Stock,"=""0,387 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A270GAT2A?qs=73XVGzxLSDU%252BRVr%252BE2op1g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A270GAT2A&utm_content=KYOCERA-AVX,"=""27 pF""",100 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06033A270G,06033A270GAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,431  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06033A270GAT2A?qs=NdLoOwmN0OSaQ7R0zZyt%2Fg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06033A270GAT2A&utm_content=KYOCERA-AVX,"=""27 pF""",25 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A220F,06035A220FAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,15.146  In Stock,"=""0,413 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A220FAT2A?qs=35WhQNrE6p3z0pJWd2MdZg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A220FAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",50 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A220GAT2A,06035A220GAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,39.783  In Stock,"=""0,103 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A220GAT2A?qs=WmCxkUxNecTgNqFUVvBYoA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A220GAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",50 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A220GAT4A,06035A220GAT4A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,14.801  In Stock,"=""0,103 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A220GAT4A?qs=WmCxkUxNecTms6Jio1xrXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A220GAT4A&utm_content=KYOCERA-AVX,"=""22 pF""",50 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
