Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Technology","Type","Isolated Power","Number of Channels","Inputs - Side 1/Side 2","Channel Type","Voltage - Isolation","Common Mode Transient Immunity (Min)","Data Rate","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Voltage - Supply","Grade","Qualification","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","URL"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM2400_2401_2402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","ADUM2402CRWZ-RLTR-ND,ADUM2402CRWZ-RLCT-ND,ADUM2402CRWZ-RLDKR-ND","ADUM2402CRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","732","9.43","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","90Mbps","32ns, 32ns","2ns","2.5ns, 2.5ns","2.7V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM2402CRWZ-RL/994844"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum2250_adum2251.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","ADUM2251WARWZ-ND","ADUM2251WARWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 2CH I2C 16-SOIC","59","9.63","0","1","Tube","-","Active","Magnetic Coupling","I2C","No","2","2/1","Bidirectional, Unidirectional","5000Vrms","25kV/µs","1Mbps","-","145ns, 85ns","-","3V ~ 5.5V","Automotive","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM2251WARWZ/5957978"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum4400_4401_4402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/505%7ERI-16-1%7ERI%7E16.jpg","ADUM4402CRIZ-ND","ADUM4402CRIZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","2.198","9.72","0","1","Tube","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","90Mbps","32ns, 32ns","2ns","2.5ns, 2.5ns","3V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC-IC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM4402CRIZ/2752963"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM2400_2401_2402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM2402CRWZ-ND","ADUM2402CRWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","35","9.72","0","1","Tube","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","90Mbps","32ns, 32ns","2ns","2.5ns, 2.5ns","2.7V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM2402CRWZ/996944"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM2400_2401_2402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/505%7ERI-16-1%7ERI%7E16.jpg","ADUM2402CRIZ-ND","ADUM2402CRIZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","377","9.72","0","1","Tube","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","90Mbps","32ns, 32ns","2ns","2.5ns, 2.5ns","2.7V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC-IC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM2402CRIZ/2752960"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum4400_4401_4402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM4402CRWZ-ND","ADUM4402CRWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","62","9.72","0","1","Tube","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","90Mbps","32ns, 32ns","2ns","2.5ns, 2.5ns","3V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM4402CRWZ/2077102"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum4400_4401_4402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","ADUM4402WBRWZ-RLTR-ND","ADUM4402WBRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","0","9.81047","0","1000","Tape & Reel (TR)","-","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","10Mbps","36ns, 36ns","3.5ns","2.5ns, 2.5ns","3V ~ 5.5V","Automotive","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM4402WBRWZ-RL/3820085"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum4470_adum4471_adum4472_adum4473_adum4474.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6283/505%7ERI-20-1%7ERI%7E20.jpg","505-ADUM4472CRIZ-ND","ADUM4472CRIZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 20-SOIC","0","10.14145","0","62","Tube","IsoPower®, iCoupler®","Active","Magnetic Coupling","General Purpose","Yes","4","2/2","Unidirectional","5000Vrms","25kV/µs","25Mbps","60ns, 60ns","6ns","2.5ns, 2.5ns","3V ~ 3.6V, 4.5V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","20-SOIC (0.295"", 7.50mm Width)","20-SOIC-IC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM4472CRIZ/3894010"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM6400_6401_6402_6403_6404.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/505%7ERI-16-1%7ERI%7E16.jpg","ADUM6402CRIZ-RLTR-ND","ADUM6402CRIZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","0","10.14826","0","1000","Tape & Reel (TR)","IsoPower®, iCoupler®","Active","Magnetic Coupling","General Purpose","Yes","4","2/2","Unidirectional","5000Vrms","25kV/µs","25Mbps","60ns, 60ns","6ns","2.5ns, 2.5ns","3V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC-IC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM6402CRIZ-RL/3878601"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum2250_adum2251.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM2250WARWZ-ND","ADUM2250WARWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 2CH I2C 16-SOIC","309","10.34","0","1","Tube","-","Active","Magnetic Coupling","I2C","No","2","2/2","Bidirectional","5000Vrms","25kV/µs","1Mbps","-","145ns, 85ns","-","3V ~ 5.5V","Automotive","-","-40°C ~ 105°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM2250WARWZ/5957977"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3470_3471_3472_3473_3474.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4900/505%7ERS-20%7ERS%7E20.JPG","ADUM3472CRSZ-ND","ADUM3472CRSZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 2.5KV 4CH GP 20-SSOP","65","10.36","0","1","Tube","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","2500Vrms","25kV/µs","25Mbps","60ns, 60ns","8ns","2.5ns, 2.5ns","3V ~ 3.6V, 4.5V ~ 5.5V","-","-","-40°C ~ 105°C","Surface Mount","20-SSOP (0.209"", 5.30mm Width)","20-SSOP","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM3472CRSZ/2415016"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3400W_3401W_3402W.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM3402WBRWZ-ND","ADUM3402WBRWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 2.5KV 4CH GP 16-SOIC","83","11.03","0","1","Tube","-","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","2500Vrms","25kV/µs","10Mbps","36ns, 36ns","3.5ns","2.5ns, 2.5ns","3V ~ 5.5V","Automotive","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM3402WBRWZ/3821178"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum4400_4401_4402.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM4402WBRWZ-ND","ADUM4402WBRWZ","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 4CH GP 16-SOIC","0","11.11234","0","47","Tube","-","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","5000Vrms","25kV/µs","10Mbps","36ns, 36ns","3.5ns","2.5ns, 2.5ns","3.135V ~ 5.5V","Automotive","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM4402WBRWZ/3821184"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM3400-EP_3401-EP_3402-EP.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","ADUM3402TRWZ-EP-RL-ND","ADUM3402TRWZ-EP-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 2.5KV 4CH GP 16-SOIC","0","11.62108","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","4","2/2","Unidirectional","2500Vrms","25kV/µs","10Mbps","50ns, 50ns","3ns","2.5ns, 2.5ns","3.135V ~ 5.5V","-","-","-55°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM3402TRWZ-EP-RL/5440978"
