Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style","URL"
"https://datasheets.kyocera-avx.com/AutoMLCCKAM.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KAM15ACG1H220FTTR-ND,478-KAM15ACG1H220FTCT-ND,478-KAM15ACG1H220FTDKR-ND","KAM15ACG1H220FT","KYOCERA AVX","KYOCERA AVX","CAP CER 22PF 50V NP0 0603","14.682","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 pF","±1%","50V","C0G, NP0","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/kyocera-avx/KAM15ACG1H220FT/3080517"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-10196-2-ND,478-10196-1-ND,478-10196-6-ND","06031A240FAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 24PF 100V NP0 0603","39.855","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24 pF","±1%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/kyocera-avx/06031A240FAT2A/1598428"
"https://datasheets.kyocera-avx.com/AutoMLCCKAM.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KAM15ACG1H270FTTR-ND,478-KAM15ACG1H270FTCT-ND,478-KAM15ACG1H270FTDKR-ND","KAM15ACG1H270FT","KYOCERA AVX","KYOCERA AVX","CAP CER 27PF 50V NP0 0603","1.365","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","27 pF","±1%","50V","C0G, NP0","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/kyocera-avx/KAM15ACG1H270FT/3080526"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG240F100NTTR-ND,4713-GMC10CG240F100NTCT-ND,4713-GMC10CG240F100NTDKR-ND","GMC10CG240F100NT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 24PF 1% 100V","3.990","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","24 pF","±1%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG240F100NT/24634116"
"https://calchip.com/wp-content/uploads/2026/01/CHV-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-CHV0603N250270GCTTR-ND,4713-CHV0603N250270GCT-ND,4713-CHV0603N250270GCTDKR-ND","CHV0603N250270GCT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","HVCAP0603 COG 27PF 2% 250V","3.884","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CHV","Active","27 pF","±2%","250V","C0G, NP0","-55°C ~ 125°C","General Purpose","-","General Purpose","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/CHV0603N250270GCT/22155372"
"https://calchip.com/wp-content/uploads/2026/01/CHV-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-CHV0603N250300GCTTR-ND,4713-CHV0603N250300GCT-ND,4713-CHV0603N250300GCTDKR-ND","CHV0603N250300GCT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","HVCAP0603 COG 30PF 2% 250V","3.038","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CHV","Active","30 pF","±2%","250V","C0G, NP0","-55°C ~ 125°C","General Purpose","-","General Purpose","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/CHV0603N250300GCT/22155276"
"https://calchip.com/wp-content/uploads/2026/01/CHV-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-CHV0603N250220GCTTR-ND,4713-CHV0603N250220GCT-ND,4713-CHV0603N250220GCTDKR-ND","CHV0603N250220GCT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","HVCAP0603 COG 22PF 2% 250V","2.391","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CHV","Active","22 pF","±2%","250V","C0G, NP0","-55°C ~ 125°C","General Purpose","-","General Purpose","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/CHV0603N250220GCT/22155292"
"https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15ACG1E220FTTR-ND,478-KGM15ACG1E220FTCT-ND,478-KGM15ACG1E220FTDKR-ND","KGM15ACG1E220FT","KYOCERA AVX","KYOCERA AVX","CAP CER 22PF 25V C0G/NP0 0603","773","0.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - C0G","Active","22 pF","±1%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/kyocera-avx/KGM15ACG1E220FT/1599151"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-06035A300FAT2ATR-ND,478-06035A300FAT2ACT-ND,478-06035A300FAT2ADKR-ND","06035A300FAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 30PF 50V NP0 0603","4.244","0.37","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","30 pF","±1%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/kyocera-avx/06035A300FAT2A/1599775"
"https://calchip.com/wp-content/uploads/2026/01/CHV-Series.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-CHV0603N250220FCTTR-ND,4713-CHV0603N250220FCT-ND,4713-CHV0603N250220FCTDKR-ND","CHV0603N250220FCT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","HVCAP0603 COG 22PF 1% 250V","6.555","0.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CHV","Active","22 pF","±1%","250V","C0G, NP0","-55°C ~ 125°C","General Purpose","-","General Purpose","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/CHV0603N250220FCT/22155265"
