Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings","URL"
"https://www.vishay.com/docs/20037/rcae3.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2491/CRCW%200603%20%281608metric%29.jpg","541-2213-2-ND,541-2213-1-ND,541-2213-6-ND","RCA06031K00JNEA","Vishay Dale","Vishay Dale","RES SMD 1K OHM 5% 1/10W 0603","23.228","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RCA","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Anti-Sulfur, Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.061"" L x 0.033"" W (1.55mm x 0.85mm)","0.020"" (0.50mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-dale/RCA06031K00JNEA/4946782"
"https://www.koaspeer.com/pdfs/SG73P.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/696/KOA-Speer-0603-%281608-Metric%29.jpg","2019-SG73P1JTTD102JTR-ND,2019-SG73P1JTTD102JCT-ND,2019-SG73P1JTTD102JDKR-ND","SG73P1JTTD102J","KOA Speer Electronics, Inc.","KOA Speer Electronics, Inc.","RES 1K OHM 5% 1/3W 0603","4.952","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SG73P","Active","1 kOhms","±5%","0.5W, 1/2W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-","https://www.digikey.be/en/products/detail/koa-speer-electronics-inc/SG73P1JTTD102J/10189867"
"https://www.koaspeer.com/pdfs/SG73S.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/323/KOA-Speer-SG73S-0603-%281608-Metric%29.jpg","2019-SG73S1JTTD102JTR-ND,2019-SG73S1JTTD102JCT-ND,2019-SG73S1JTTD102JDKR-ND","SG73S1JTTD102J","KOA Speer Electronics, Inc.","KOA Speer Electronics, Inc.","RES 1K OHM 5% 1/5W 0603","9.300","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SG73S","Active","1 kOhms","±5%","0.2W, 1/5W","Thick Film","Automotive AEC-Q200, Moisture Resistant, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2","-","-","https://www.digikey.be/en/products/detail/koa-speer-electronics-inc/SG73S1JTTD102J/10289096"
"https://www.we-online.com/components/products/datasheet/560112132030.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5874/MFG_WRIS-RSKS.jpg","732-560112132030TR-ND,732-560112132030CT-ND,732-560112132030DKR-ND","560112132030","Würth Elektronik","Würth Elektronik","RES 1K OHM 5% 1/4W 1206","10.000","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WRIS-RSKS","Active","1 kOhms","±5%","0.25W, 1/4W","Thick Film","Anti-Sulfur","±100ppm/°C","-55°C ~ 155°C","1206 (3216 Metric)","1206","0.122"" L x 0.063"" W (3.10mm x 1.60mm)","0.030"" (0.75mm)","2","-","AEC-Q200","https://www.digikey.be/en/products/detail/würth-elektronik/560112132030/22230626"
"https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/sfr-e.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4843/PA2-Series.jpg","846-SFR01MZPJ102TR-ND,846-SFR01MZPJ102CT-ND","SFR01MZPJ102","Rohm Semiconductor","Rohm Semiconductor","SULFUR TOLERANT CHIP RESISTORS","15.153","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","SFR","Active","1 kOhms","±5%","0.1W, 1/10W","Thick Film","Anti-Sulfur, Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-","-","https://www.digikey.be/en/products/detail/rohm-semiconductor/SFR01MZPJ102/16180011"
"https://industrial.panasonic.com/ww/products/pt/anti-sulfurated-chip-resistors/models/ERJS1DJ102U","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2459/ERJ-2010%20Pkg.jpg","ERJ-S1DJ102U-ND","ERJ-S1DJ102U","Panasonic Industry","Panasonic Industry","RES 1K OHM 5% 3/4W 2010","0","0.09597","0","5000","Tape & Reel (TR)","ERJ-S1D","Active","1 kOhms","±5%","0.75W, 3/4W","Thick Film","Anti-Sulfur, Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2","-","-","https://www.digikey.be/en/products/detail/panasonic-industry/ERJ-S1DJ102U/1019240"
"https://industrial.panasonic.com/ww/products/pt/anti-sulfurated-chip-resistors/models/ERJS12J102U","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2455/ERJ-1812%20Pkg.jpg","ERJ-S12J102U-ND","ERJ-S12J102U","Panasonic Industry","Panasonic Industry","RES 1K OHM 5% 3/4W 1812","0","0.09547","0","5000","Tape & Reel (TR)","ERJ-S12","Active","1 kOhms","±5%","0.75W, 3/4W","Thick Film","Anti-Sulfur, Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","1812 (4532 Metric)","1812","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.028"" (0.70mm)","2","-","-","https://www.digikey.be/en/products/detail/panasonic-industry/ERJ-S12J102U/1162360"
"https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2579/RL%20Series%201210%283225%20Metric%29.jpg","13-SR1210JR-071KL-ND","SR1210JR-071KL","YAGEO","YAGEO","RES 1K OHM 5% 1/2W 1210","0","0.09195","0","5000","Tape & Reel (TR)","SR","Active","1 kOhms","±5%","0.5W, 1/2W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","1210","0.122"" L x 0.102"" W (3.10mm x 2.60mm)","0.026"" (0.65mm)","2","-","-","https://www.digikey.be/en/products/detail/yageo/SR1210JR-071KL/17027440"
"https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-AF_51_ROHS_L.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4843/YAGEOCHIPRES.jpg","13-AF2512JK-071KL-ND","AF2512JK-071KL","YAGEO","YAGEO","RES 1K OHM 5% 1W 2512","0","0.09042","0","4000","Tape & Reel (TR)","AF","Active","1 kOhms","±5%","1W","Thick Film","Anti-Sulfur, Automotive AEC-Q200, Moisture Resistant","±100ppm/°C","-55°C ~ 155°C","2512 (6332 Metric)","2512","0.250"" L x 0.126"" W (6.35mm x 3.20mm)","0.026"" (0.67mm)","2","-","-","https://www.digikey.be/en/products/detail/yageo/AF2512JK-071KL/17009453"
"https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-SR_20105_ROHS_L.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2289/Yageo-RC1218.jpg","SR1218JK-071KL-ND","SR1218JK-071KL","YAGEO","YAGEO","RES 1K OHM 5% 1W 1812 WIDE","0","0.09002","0","4000","Tape & Reel (TR)","SR","Active","1 kOhms","±5%","1W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","Wide 1812 (4532 Metric), 1218","1218","0.122"" L x 0.181"" W (3.10mm x 4.60mm)","0.026"" (0.65mm)","2","-","-","https://www.digikey.be/en/products/detail/yageo/SR1218JK-071KL/5949661"
